theme,indicator_id,indicator_label,unit,source,bad_when,baseline_year,baseline_value_italy,latest_year,latest_value_italy,change_abs_since_baseline,change_pct_since_baseline,peer_latest_mean,gap_vs_peer_mean,bad_gap_vs_peer_mean,worsened_since_baseline,italy_worse_than_peer_avg,note,source_url
demografia,SP.POP.GROW,Crescita della popolazione,% annuo,World Bank WDI,low,2000,0.045303631138613,2024,-0.0534387378437725,-0.0987423689823855,-217.9568535693507,0.4635379660179618,-0.5169767038617343,0.5169767038617343,True,True,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000
demografia,SP.POP.65UP.TO.ZS,Popolazione 65+,% totale,World Bank WDI,high,2000,18.2167668390368,2024,24.624776723376,6.408009884339201,35.17643905178302,22.125021407403427,2.4997553159725747,2.4997553159725747,True,True,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.65UP.TO.ZS?format=json&per_page=20000
demografia,SP.POP.1564.TO.ZS,Popolazione in eta 15-64,% totale,World Bank WDI,low,2000,67.5085230928763,2024,63.4829186800159,-4.025604412860403,-5.963105439771051,63.4375194065081,0.04539927350779749,-0.04539927350779749,True,False,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.1564.TO.ZS?format=json&per_page=20000
demografia,SP.POP.TOTL,Popolazione totale,persone,World Bank WDI,context,2000,56942108.0,2024,58952704.0,2010596.0,3.5309476073488533,162786318.5,-103833614.5,,False,False,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.TOTL?format=json&per_page=20000
natalita,SP.DYN.CBRT.IN,Natalita grezza,nati per 1.000 abitanti,World Bank WDI,low,2000,9.5,2024,6.3,-3.2,-33.68421052631579,8.052261544480416,-1.7522615444804162,1.7522615444804162,True,True,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.DYN.CBRT.IN?format=json&per_page=20000
natalita,SP.DYN.TFRT.IN,Tasso di fertilita,figli per donna,World Bank WDI,low,2000,1.26,2024,1.18,-0.08000000000000007,-6.349206349206354,1.3527175016789925,-0.17271750167899258,0.17271750167899258,True,True,,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.DYN.TFRT.IN?format=json&per_page=20000
