sector_va,year,va,key
Magazzinaggio e attività di supporto ai trasporti,2015,29367.2,magazzinaggio e attività di supporto ai trasporti
Servizi postali e attività di corriere,2015,3288.4,servizi postali e attività di corriere
Servizi di alloggio e di ristorazione,2015,61832.5,servizi di alloggio e di ristorazione
Servizi di informazione e comunicazione,2015,53375.1,servizi di informazione e comunicazione
"Attività editoriali, audiovisivi, attività di trasmissione",2015,10319.6,"attività editoriali, audiovisivi, attività di trasmissione"
Attività editoriali,2015,3757.0,attività editoriali
"Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, attività di programmazione e trasmissione",2015,6596.7,"attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, attività di programmazione e trasmissione"
Telecomunicazioni,2015,13997.4,telecomunicazioni
"Programmazione, consulenza informatica e attività connesse, attività dei servizi d'informazione",2015,29806.7,"programmazione, consulenza informatica e attività connesse, attività dei servizi dinformazione"
Attività finanziarie e assicurative,2015,82151.7,attività finanziarie e assicurative
Prestazione di servizi finanziari (ad esclusione di assicurazioni e fondi pensione),2015,50922.1,prestazione di servizi finanziari (ad esclusione di assicurazioni e fondi pensione)
"Assicurazioni, riassicurazioni e fondi pensione, escluse le assicurazioni sociali obbligatorie",2015,16282.4,"assicurazioni, riassicurazioni e fondi pensione, escluse le assicurazioni sociali obbligatorie"
Attività ausiliarie dei servizi finanziari e delle attività assicurative,2015,15368.9,attività ausiliarie dei servizi finanziari e delle attività assicurative
Attività immobiliari,2015,214945.3,attività immobiliari
"Attività immobiliari, di cui: affitti imputati per gli alloggi occupati dai rispettivi proprietari",2015,146976.4,"attività immobiliari, di cui affitti imputati per gli alloggi occupati dai rispettivi proprietari"
"Attività professionali, scientifiche e tecniche, amministrazione e servizi di supporto",2015,147236.1,"attività professionali, scientifiche e tecniche, amministrazione e servizi di supporto"
"Attività professionali, scientifiche e tecniche",2015,96741.4,"attività professionali, scientifiche e tecniche"
"Attività legali e contabilità, attività di sedi centrali, consulenza gestionale, attività degli studi di architettura e d'ingegneria, collaudi e analisi tecniche",2015,66821.6,"attività legali e contabilità, attività di sedi centrali, consulenza gestionale, attività degli studi di architettura e dingegneria, collaudi e analisi tecniche"
"Attività legali e contabilità, attività di sedi centrali, consulenza gestionale",2015,48632.5,"attività legali e contabilità, attività di sedi centrali, consulenza gestionale"
"Attività degli studi di architettura e d'ingegneria, collaudi e analisi tecniche",2015,18191.8,"attività degli studi di architettura e dingegneria, collaudi e analisi tecniche"
Ricerca scientifica e sviluppo,2015,14374.6,ricerca scientifica e sviluppo
"Pubblicità e ricerche di mercato, altre attività professionali, scientifiche e tecniche, servizi veterinari",2015,15686.1,"pubblicità e ricerche di mercato, altre attività professionali, scientifiche e tecniche, servizi veterinari"
Pubblicità e ricerche di mercato,2015,2389.3,pubblicità e ricerche di mercato
"Altre attività professionali, scientifiche e tecniche, servizi veterinari",2015,13902.1,"altre attività professionali, scientifiche e tecniche, servizi veterinari"
Attività amministrative e di servizi di supporto,2015,50516.3,attività amministrative e di servizi di supporto
Attività di noleggio e leasing,2015,7108.7,attività di noleggio e leasing
"Attività di ricerca, selezione, fornitura di personale",2015,8470.4,"attività di ricerca, selezione, fornitura di personale"
"Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività correlate",2015,6174.6,"attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività correlate"
"Servizi di investigazione e vigilanza, attività di servizi per edifici e per paesaggio, attività amministrative e di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese",2015,31037.0,"servizi di investigazione e vigilanza, attività di servizi per edifici e per paesaggio, attività amministrative e di supporto per le funzioni dufficio e altri servizi di supporto alle imprese"
"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale",2015,283014.5,"amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale"
"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",2015,110612.3,"amministrazione pubblica e difesa, assicurazione sociale obbligatoria"
Istruzione,2015,70664.5,istruzione
Sanità e assistenza sociale,2015,101834.6,sanità e assistenza sociale
Attività dei servizi sanitari,2015,88774.3,attività dei servizi sanitari
Assistenza sociale,2015,13308.9,assistenza sociale
"Attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi",2015,63155.1,"attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi"
"Attività artistiche, di intrattenimento e divertimento",2015,17162.8,"attività artistiche, di intrattenimento e divertimento"
"Attività creative, artistiche e d'intrattenimento, attività di biblioteche, archivi, musei e altre attività culturali, attività riguardanti scommesse e case da gioco",2015,9609.0,"attività creative, artistiche e dintrattenimento, attività di biblioteche, archivi, musei e altre attività culturali, attività riguardanti scommesse e case da gioco"
"Attività sportive, di intrattenimento e di divertimento",2015,7571.5,"attività sportive, di intrattenimento e di divertimento"
Altre attività di servizi,2015,27997.0,altre attività di servizi
Attività di organizzazioni associative,2015,4957.2,attività di organizzazioni associative
Riparazione di computer e di beni per uso personale e per la casa,2015,1784.3,riparazione di computer e di beni per uso personale e per la casa
Altre attività di servizi personali,2015,21259.5,altre attività di servizi personali
"Attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",2015,18053.2,"attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze"
Branca di attività economica (ATECO 2007),2016,,branca di attività economica (ateco 2007)
Totale attività economiche,2016,1575406.2,totale attività economiche
Attività economiche non market,2016,248816.3,attività economiche non market
"Agricoltura, silvicoltura e pesca",2016,34701.0,"agricoltura, silvicoltura e pesca"
"Produzioni vegetali e animali, caccia e servizi connessi",2016,31499.5,"produzioni vegetali e animali, caccia e servizi connessi"
Silvicoltura e utilizzo di aree forestali,2016,2154.0,silvicoltura e utilizzo di aree forestali
Pesca e acquicoltura,2016,1069.0,pesca e acquicoltura
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni",2016,374258.5,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni"
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento",2016,307501.5,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento"
Industria estrattiva,2016,2838.7,industria estrattiva
Industria manifatturiera,2016,267106.9,industria manifatturiera
"Industrie alimentari, delle bevande e del tabacco",2016,29118.9,"industrie alimentari, delle bevande e del tabacco"
