unmatched_hours
"Attività artistiche, sportive, di intrattenimento e divertimento"
Attività dei servizi di alloggio e di ristorazione
Attività economica (ATECO 2007)
Attività manifatturiere
Estrazione di minerali da cave e miniere
"Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento"
"Industria e servizi (b-s, escluso o)"
"Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)"
"Noleggio, agenzie di viaggio, servizi di supporto alle imprese"
"Servizi (g-s, escluso o)"
Servizi alle imprese (l-n)
TOTALE INDUSTRIA (b-f)
TOTALE INDUSTRIA E SERVIZI (b-n)
TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e)
TOTALE SERVIZI DI MERCATO (g-n)
Trasporto e magazzinaggio
